filename,severity,bin,low_light_severity,low_light_bin
AM_Bing_211.png,73.98294830322266,low,125.15190609019061,high
AM_Bing_217.png,103.81173706054688,medium,166.60002104377105,low
AM_Bing_222.png,111.70518493652344,medium,151.95126302083332,medium
AM_Bing_229.png,108.59138488769533,medium,142.13680028129394,medium
AM_Bing_232.png,31.70053100585937,low,124.85024476177333,high
AM_Bing_242.png,108.35326385498048,medium,138.70305860984075,medium
AM_Bing_243.png,152.57037353515625,high,176.54011792226575,low
AM_Bing_274.png,108.63876342773438,medium,156.01290625,medium
AM_Bing_318.png,80.06981658935547,low,145.60810306831667,medium
AM_Bing_422.png,90.22447967529295,low,146.72805168986085,medium
AM_Bing_464.png,39.32201766967773,low,56.20086934156379,high
AM_Bing_536.png,169.99632263183594,high,191.98364386792454,low
AM_Bing_640.png,42.3381462097168,low,99.87104672057502,high
AM_Bing_727.png,126.8117904663086,medium,171.47877926055568,low
AM_Google_019.png,101.66808319091795,low,158.9999875018179,low
AM_Google_035.png,119.60445404052734,medium,144.99647411852962,medium
AM_Google_067.png,93.05269622802734,low,145.52161027809817,medium
AM_Google_10.png,42.63107299804688,low,161.35135759528194,low
AM_Google_228.png,152.47703552246094,high,175.34858766386108,low
AM_Google_244.png,137.94482421875,high,144.7217837837838,medium
AM_Google_246.png,106.1009750366211,medium,133.71529985007496,high
AM_Google_250.png,135.31527709960938,high,159.28027586206898,low
AM_Google_289.png,98.6444320678711,low,136.00193129520054,medium
AM_Google_309.png,160.26898193359375,high,176.60801555993865,low
AM_Google_320.png,89.73888397216797,low,121.9268438538206,high
AM_Google_359.png,148.88340759277344,high,177.25752533945305,low
AM_Google_411.png,84.26299285888672,low,116.26697288525963,high
AM_Google_494.png,122.50227355957033,medium,145.5442603550296,medium
AM_Google_525.png,44.57477951049805,low,114.4490382848392,high
AM_Google_617.png,107.75433349609376,medium,129.2257773241206,high
AM_Google_707.png,197.17547607421875,high,207.69514806181473,low
AM_Google_711.png,133.0322723388672,high,151.60683902205068,medium
AM_Google_754.png,170.62905883789062,high,194.2212705514719,low
AM_Google_768.png,128.56361389160156,high,183.7773232484642,low
AM_Google_796.png,135.8077392578125,high,157.13769177126917,medium
AM_Google_869.png,93.93468475341795,low,143.15468600335248,medium
BD_Baidu_000.png,129.83604431152344,high,143.74689021361152,medium
BD_Baidu_007.png,143.10032653808594,high,159.605501618123,low
BD_Baidu_018.png,168.139404296875,high,195.86187548840843,low
