image_path,label_path,source_stem,augmentation_type
data/raw/RTTS/JPEGImages/AM_Bing_211.png,data/labels/AM_Bing_211.txt,AM_Bing_211,original
data/raw/RTTS/JPEGImages/AM_Bing_217.png,data/labels/AM_Bing_217.txt,AM_Bing_217,original
data/raw/RTTS/JPEGImages/AM_Bing_222.png,data/labels/AM_Bing_222.txt,AM_Bing_222,original
data/raw/RTTS/JPEGImages/AM_Bing_229.png,data/labels/AM_Bing_229.txt,AM_Bing_229,original
data/raw/RTTS/JPEGImages/AM_Bing_232.png,data/labels/AM_Bing_232.txt,AM_Bing_232,original
data/raw/RTTS/JPEGImages/AM_Bing_242.png,data/labels/AM_Bing_242.txt,AM_Bing_242,original
data/raw/RTTS/JPEGImages/AM_Bing_243.png,data/labels/AM_Bing_243.txt,AM_Bing_243,original
data/raw/RTTS/JPEGImages/AM_Bing_274.png,data/labels/AM_Bing_274.txt,AM_Bing_274,original
data/raw/RTTS/JPEGImages/AM_Bing_318.png,data/labels/AM_Bing_318.txt,AM_Bing_318,original
data/raw/RTTS/JPEGImages/AM_Bing_422.png,data/labels/AM_Bing_422.txt,AM_Bing_422,original
data/raw/RTTS/JPEGImages/AM_Bing_464.png,data/labels/AM_Bing_464.txt,AM_Bing_464,original
data/raw/RTTS/JPEGImages/AM_Bing_536.png,data/labels/AM_Bing_536.txt,AM_Bing_536,original
data/raw/RTTS/JPEGImages/AM_Bing_640.png,data/labels/AM_Bing_640.txt,AM_Bing_640,original
data/raw/RTTS/JPEGImages/AM_Bing_727.png,data/labels/AM_Bing_727.txt,AM_Bing_727,original
data/raw/RTTS/JPEGImages/AM_Google_019.png,data/labels/AM_Google_019.txt,AM_Google_019,original
data/raw/RTTS/JPEGImages/AM_Google_035.png,data/labels/AM_Google_035.txt,AM_Google_035,original
data/raw/RTTS/JPEGImages/AM_Google_067.png,data/labels/AM_Google_067.txt,AM_Google_067,original
data/raw/RTTS/JPEGImages/AM_Google_10.png,data/labels/AM_Google_10.txt,AM_Google_10,original
data/raw/RTTS/JPEGImages/AM_Google_228.png,data/labels/AM_Google_228.txt,AM_Google_228,original
data/raw/RTTS/JPEGImages/AM_Google_244.png,data/labels/AM_Google_244.txt,AM_Google_244,original
data/raw/RTTS/JPEGImages/AM_Google_246.png,data/labels/AM_Google_246.txt,AM_Google_246,original
data/raw/RTTS/JPEGImages/AM_Google_250.png,data/labels/AM_Google_250.txt,AM_Google_250,original
data/raw/RTTS/JPEGImages/AM_Google_289.png,data/labels/AM_Google_289.txt,AM_Google_289,original
data/raw/RTTS/JPEGImages/AM_Google_309.png,data/labels/AM_Google_309.txt,AM_Google_309,original
data/raw/RTTS/JPEGImages/AM_Google_320.png,data/labels/AM_Google_320.txt,AM_Google_320,original
data/raw/RTTS/JPEGImages/AM_Google_359.png,data/labels/AM_Google_359.txt,AM_Google_359,original
data/raw/RTTS/JPEGImages/AM_Google_411.png,data/labels/AM_Google_411.txt,AM_Google_411,original
data/raw/RTTS/JPEGImages/AM_Google_494.png,data/labels/AM_Google_494.txt,AM_Google_494,original
data/raw/RTTS/JPEGImages/AM_Google_525.png,data/labels/AM_Google_525.txt,AM_Google_525,original
data/raw/RTTS/JPEGImages/AM_Google_617.png,data/labels/AM_Google_617.txt,AM_Google_617,original
data/raw/RTTS/JPEGImages/AM_Google_707.png,data/labels/AM_Google_707.txt,AM_Google_707,original
data/raw/RTTS/JPEGImages/AM_Google_711.png,data/labels/AM_Google_711.txt,AM_Google_711,original
data/raw/RTTS/JPEGImages/AM_Google_754.png,data/labels/AM_Google_754.txt,AM_Google_754,original
