filename,bucket,tier,found,achieved_score,output_path
AM_Bing_211.png,no_augment,,,,
AM_Bing_217.png,augment_medium,medium_dark,True,140.72806362233445,data/processed/lowlight_augmented/AM_Bing_217_medium_dark.png
AM_Bing_222.png,no_augment,,,,
AM_Bing_229.png,no_augment,,,,
AM_Bing_232.png,no_augment,,,,
AM_Bing_242.png,no_augment,,,,
AM_Bing_243.png,augment_medium,medium_dark,True,150.65505154487025,data/processed/lowlight_augmented/AM_Bing_243_medium_dark.png
AM_Bing_274.png,no_augment,,,,
AM_Bing_318.png,no_augment,,,,
AM_Bing_422.png,no_augment,,,,
AM_Bing_464.png,no_augment,,,,
AM_Bing_536.png,augment_medium,medium_dark,True,142.24179009433962,data/processed/lowlight_augmented/AM_Bing_536_medium_dark.png
AM_Bing_640.png,no_augment,,,,
AM_Bing_727.png,augment_medium,medium_dark,True,145.47877926055568,data/processed/lowlight_augmented/AM_Bing_727_medium_dark.png
AM_Google_019.png,augment_medium,medium_dark,False,,
AM_Google_035.png,no_augment,,,,
AM_Google_067.png,no_augment,,,,
AM_Google_10.png,augment_medium,medium_dark,True,135.35151802960976,data/processed/lowlight_augmented/AM_Google_10_medium_dark.png
AM_Google_228.png,augment_medium,medium_dark,True,149.35085931002791,data/processed/lowlight_augmented/AM_Google_228_medium_dark.png
AM_Google_244.png,no_augment,,,,
AM_Google_246.png,no_augment,,,,
AM_Google_250.png,augment_medium,medium_dark,False,,
AM_Google_289.png,no_augment,,,,
AM_Google_309.png,augment_medium,medium_dark,True,150.60801555993865,data/processed/lowlight_augmented/AM_Google_309_medium_dark.png
AM_Google_320.png,no_augment,,,,
AM_Google_359.png,augment_medium,medium_dark,True,151.77020940906482,data/processed/lowlight_augmented/AM_Google_359_medium_dark.png
AM_Google_411.png,no_augment,,,,
AM_Google_494.png,no_augment,,,,
AM_Google_525.png,no_augment,,,,
AM_Google_617.png,no_augment,,,,
AM_Google_707.png,augment_medium,medium_dark,True,156.69514806181473,data/processed/lowlight_augmented/AM_Google_707_medium_dark.png
AM_Google_711.png,no_augment,,,,
AM_Google_754.png,augment_medium,medium_dark,True,143.22208728383225,data/processed/lowlight_augmented/AM_Google_754_medium_dark.png
AM_Google_768.png,augment_medium,medium_dark,False,,
AM_Google_796.png,no_augment,,,,
AM_Google_869.png,no_augment,,,,
BD_Baidu_000.png,no_augment,,,,
BD_Baidu_007.png,augment_medium,medium_dark,False,,
BD_Baidu_018.png,augment_medium,medium_dark,True,144.9122844490753,data/processed/lowlight_augmented/BD_Baidu_018_medium_dark.png
BD_Baidu_022.png,no_augment,,,,
BD_Baidu_023.png,augment_medium,medium_dark,True,146.96789873287847,data/processed/lowlight_augmented/BD_Baidu_023_medium_dark.png
BD_Baidu_031.png,no_augment,,,,
BD_Baidu_038.png,no_augment,,,,
BD_Baidu_039.png,no_augment,,,,
BD_Baidu_042.png,augment_medium,medium_dark,False,,
BD_Baidu_045.png,no_augment,,,,
BD_Baidu_046.png,augment_medium,medium_dark,True,139.2860157790927,data/processed/lowlight_augmented/BD_Baidu_046_medium_dark.png
BD_Baidu_050.png,augment_medium,medium_dark,True,141.99902017140468,data/processed/lowlight_augmented/BD_Baidu_050_medium_dark.png
BD_Baidu_058.png,no_augment,,,,
BD_Baidu_059.png,no_augment,,,,
BD_Baidu_062.png,no_augment,,,,
BD_Baidu_065.png,no_augment,,,,
BD_Baidu_074.png,augment_medium,medium_dark,True,138.4008740601504,data/processed/lowlight_augmented/BD_Baidu_074_medium_dark.png
BD_Baidu_076.png,augment_medium,medium_dark,True,144.6144934640523,data/processed/lowlight_augmented/BD_Baidu_076_medium_dark.png
BD_Baidu_078.png,no_augment,,,,
BD_Baidu_08.png,no_augment,,,,
BD_Baidu_081.png,no_augment,,,,
BD_Baidu_084.png,no_augment,,,,
BD_Baidu_087.png,no_augment,,,,
BD_Baidu_088.png,augment_medium,medium_dark,True,149.49925741399764,data/processed/lowlight_augmented/BD_Baidu_088_medium_dark.png
BD_Baidu_095.png,no_augment,,,,
BD_Baidu_097.png,no_augment,,,,
BD_Baidu_10.png,no_augment,,,,
BD_Baidu_102.png,no_augment,,,,
BD_Baidu_104.png,no_augment,,,,
BD_Baidu_105.png,no_augment,,,,
BD_Baidu_116.png,no_augment,,,,
BD_Baidu_117.png,augment_medium,medium_dark,True,143.48420312140095,data/processed/lowlight_augmented/BD_Baidu_117_medium_dark.png
BD_Baidu_129.png,augment_medium,medium_dark,True,140.9889418742586,data/processed/lowlight_augmented/BD_Baidu_129_medium_dark.png
BD_Baidu_133.png,augment_medium,medium_dark,True,149.68215613382898,data/processed/lowlight_augmented/BD_Baidu_133_medium_dark.png
BD_Baidu_134.png,augment_medium,medium_dark,True,149.80076666666668,data/processed/lowlight_augmented/BD_Baidu_134_medium_dark.png
