filename,bucket,tier,found,achieved_severity,output_path
AM_Bing_211.png,augment_full,low,True,100.87281036376953,data/processed/fog_augmented/AM_Bing_211_low.png
AM_Bing_211.png,augment_full,medium,True,114.84710693359375,data/processed/fog_augmented/AM_Bing_211_medium.png
AM_Bing_211.png,augment_full,high,False,,
AM_Bing_217.png,augment_medium,medium,True,154.58824157714844,data/processed/fog_augmented/AM_Bing_217_medium.png
AM_Bing_222.png,augment_medium,medium,True,152.71800231933594,data/processed/fog_augmented/AM_Bing_222_medium.png
AM_Bing_229.png,augment_medium,medium,True,145.2372283935547,data/processed/fog_augmented/AM_Bing_229_medium.png
AM_Bing_232.png,augment_full,low,True,97.19795989990234,data/processed/fog_augmented/AM_Bing_232_low.png
AM_Bing_232.png,augment_full,medium,True,110.5272216796875,data/processed/fog_augmented/AM_Bing_232_medium.png
AM_Bing_232.png,augment_full,high,False,,
AM_Bing_242.png,augment_medium,medium,True,144.40878295898438,data/processed/fog_augmented/AM_Bing_242_medium.png
AM_Bing_243.png,no_augment,,,,
AM_Bing_274.png,augment_medium,medium,True,155.1094207763672,data/processed/fog_augmented/AM_Bing_274_medium.png
AM_Bing_318.png,augment_full,low,True,98.7607192993164,data/processed/fog_augmented/AM_Bing_318_low.png
AM_Bing_318.png,augment_full,medium,True,126.51502227783203,data/processed/fog_augmented/AM_Bing_318_medium.png
AM_Bing_318.png,augment_full,high,False,,
AM_Bing_422.png,augment_full,low,False,,
AM_Bing_422.png,augment_full,medium,True,121.30538177490234,data/processed/fog_augmented/AM_Bing_422_medium.png
AM_Bing_422.png,augment_full,high,True,150.46632385253906,data/processed/fog_augmented/AM_Bing_422_high.png
AM_Bing_464.png,augment_full,low,True,99.75501251220703,data/processed/fog_augmented/AM_Bing_464_low.png
AM_Bing_464.png,augment_full,medium,False,,
AM_Bing_464.png,augment_full,high,False,,
AM_Bing_536.png,no_augment,,,,
AM_Bing_640.png,augment_full,low,True,101.83707427978516,data/processed/fog_augmented/AM_Bing_640_low.png
AM_Bing_640.png,augment_full,medium,False,,
AM_Bing_640.png,augment_full,high,False,,
AM_Bing_727.png,augment_medium,medium,True,154.20008850097656,data/processed/fog_augmented/AM_Bing_727_medium.png
AM_Google_019.png,augment_full,low,False,,
AM_Google_019.png,augment_full,medium,False,,
AM_Google_019.png,augment_full,high,True,152.26327514648438,data/processed/fog_augmented/AM_Google_019_high.png
AM_Google_035.png,augment_medium,medium,True,152.0762481689453,data/processed/fog_augmented/AM_Google_035_medium.png
AM_Google_067.png,augment_full,low,False,,
AM_Google_067.png,augment_full,medium,True,127.76018524169922,data/processed/fog_augmented/AM_Google_067_medium.png
AM_Google_067.png,augment_full,high,True,150.0637664794922,data/processed/fog_augmented/AM_Google_067_high.png
AM_Google_10.png,augment_full,low,True,95.96026611328125,data/processed/fog_augmented/AM_Google_10_low.png
AM_Google_10.png,augment_full,medium,True,124.5179443359375,data/processed/fog_augmented/AM_Google_10_medium.png
AM_Google_10.png,augment_full,high,False,,
AM_Google_228.png,no_augment,,,,
AM_Google_244.png,no_augment,,,,
AM_Google_246.png,augment_medium,medium,True,151.09121704101562,data/processed/fog_augmented/AM_Google_246_medium.png
AM_Google_250.png,no_augment,,,,
AM_Google_289.png,augment_full,low,False,,
AM_Google_289.png,augment_full,medium,True,125.12396240234375,data/processed/fog_augmented/AM_Google_289_medium.png
AM_Google_289.png,augment_full,high,True,132.49713134765625,data/processed/fog_augmented/AM_Google_289_high.png
AM_Google_309.png,no_augment,,,,
AM_Google_320.png,augment_full,low,True,101.52719116210938,data/processed/fog_augmented/AM_Google_320_low.png
